date,green_full,blue_full,blue_dashed,red_dot,red_full,red_dashed,red_dot_90,red_full_90,red_dashed_90,vacc_red_dashed,vacc_red_line,vacc_red_dot,vacc_blue_dashed,vacc_blue_line,vacc_gree_line,reality_report,reality
2021-11-15,23,53,53,100,137,144,136,182,173,159,147,110,61,48,16,NA,402.2857142857143
2021-11-16,22,55,51,99,144,147,123,196,185,161,151,95,65,48,16,NA,407.42857142857144
2021-11-17,23,57,58,102,148,156,116,192,196,160,167,98,64,48,16,NA,412.14285714285717
2021-11-18,19,61,61,105,149,157,119,208,194,168,168,101,64,48,16,NA,448.2857142857143
2021-11-19,16,61,61,108,158,158,123,210,211,170,179,105,66,48,7,NA,461
2021-11-20,16,61,61,111,152,169,128,213,213,171,179,110,73,48,8,NA,496.8571428571429
2021-11-21,16,61,61,114,155,179,133,208,210,181,170,114,73,48,12,NA,531.5714285714286
2021-11-22,13,52,54,117,159,191,137,208,192,195,182,119,65,48,18,NA,560.2857142857143
2021-11-23,13,45,48,116,167,204,145,233,207,213,190,123,65,47,9,NA,578.2857142857143
2021-11-24,15,53,53,118,169,217,149,244,232,232,200,127,68,56,8,NA,585.8571428571429
2021-11-25,13,55,55,121,176,230,154,235,238,250,201,130,72,56,8,NA,611.4285714285714
2021-11-26,13,55,55,125,182,240,159,283,237,275,217,134,76,56,8,NA,672.5714285714286
2021-11-27,13,54,54,128,189,250,163,311,267,291,222,138,79,57,7,NA,701.8571428571429
2021-11-28,13,58,58,131,193,251,165,337,248,303,233,142,81,52,13,NA,727.7142857142857
2021-11-29,13,54,65,131,204,263,157,343,238,327,242,148,86,47,11,NA,786.2857142857143
2021-11-30,13,51,71,132,205,263,162,333,292,326,263,154,88,55,8,NA,830.2857142857143
2021-12-01,13,59,71,134,215,276,169,312,305,352,264,160,96,56,8,NA,852.5714285714286
2021-12-02,13,61,71,136,224,293,177,318,305,376,282,166,96,57,8,NA,905.7142857142857
2021-12-03,13,61,71,139,226,311,185,364,323,403,289,171,96,65,8,NA,975.8571428571429
2021-12-04,13,61,76,141,236,326,192,418,332,429,306,175,96,60,8,NA,1015.5714285714287
2021-12-05,12,62,80,143,245,334,196,467,345,450,326,176,98,60,8,NA,1058.857142857143
2021-12-06,10,53,80,148,252,348,196,496,357,470,334,178,99,65,8,NA,1079
2021-12-07,6,49,81,148,261,360,201,511,374,476,343,182,100,63,8,NA,1089.142857142857
2021-12-08,10,53,82,150,274,363,206,539,384,513,361,188,102,72,8,NA,1104
2021-12-09,10,58,83,153,279,385,213,539,404,524,388,193,103,72,7,NA,1115.857142857143
2021-12-10,10,58,84,156,292,411,219,575,416,555,401,198,104,73,1,NA,1112.4285714285713
2021-12-11,7,58,85,159,301,434,225,618,433,594,406,203,104,65,9,NA,1139.142857142857
2021-12-12,6,58,86,162,307,443,239,660,451,631,427,211,100,59,8,NA,1151.4285714285713
2021-12-13,8,51,86,168,319,458,244,690,470,669,438,217,96,71,8,NA,1173.5714285714287
2021-12-14,13,49,87,164,325,473,251,694,481,704,461,224,96,72,8,NA,1179.4285714285713
2021-12-15,11,59,87,167,336,472,257,726,499,714,483,232,96,72,8,NA,1181.142857142857
2021-12-16,6,63,87,170,346,505,262,758,520,742,501,237,105,72,8,NA,1176.857142857143
2021-12-17,6,61,89,174,359,546,266,795,543,781,516,242,113,73,8,NA,1174.142857142857
2021-12-18,6,58,93,178,368,563,266,839,561,821,530,242,116,68,9,NA,1168.857142857143
2021-12-19,6,58,97,182,382,579,272,880,572,856,552,247,120,69,3,NA,1170.2857142857142
2021-12-20,6,58,93,183,393,596,280,926,598,897,580,253,123,73,0,NA,1158.142857142857
2021-12-21,6,58,95,185,403,606,289,948,615,926,600,260,126,72,0,NA,1150.2857142857142
2021-12-22,8,58,97,189,418,653,296,994,641,972,618,265,129,72,8,NA,1153
2021-12-23,10,58,96,189,427,674,295,1030,661,1009,638,273,129,72,8,NA,1169.4285714285713
2021-12-24,6,64,96,192,443,675,305,1046,684,1064,663,278,137,72,5,NA,1237.2857142857142
2021-12-25,6,61,99,196,454,709,311,1111,716,1121,683,285,136,72,-1,NA,1308.4285714285713
2021-12-26,6,61,100,200,467,754,317,1183,736,1174,719,292,135,72,0,NA,1385.7142857142858
2021-12-27,6,61,103,204,481,781,324,1244,761,1207,742,299,143,72,-1,NA,1461
2021-12-28,7,61,103,207,496,796,330,1264,783,1249,768,304,145,80,8,NA,1505.857142857143
2021-12-29,4,61,NA,210,510,804,340,1288,811,1278,787,NA,NA,89,7,NA,1524.7142857142858
2021-12-30,9,61,NA,NA,524,856,NA,1383,838,1340,815,NA,NA,86,-1,NA,1595.5714285714287
2021-12-31,6,59,NA,NA,539,904,NA,1458,870,1410,843,NA,NA,79,0,NA,1696
2022-01-01,7,61,NA,NA,551,910,NA,1470,894,1461,869,NA,NA,84,0,NA,1772
